ID,mean,std,p50,p85
road2926,15.072000,7.177000,16.146000,22.010000
road2929,12.641000,5.048000,12.233000,15.258000
road2930,14.139000,9.449000,12.263000,23.343000
road2934,11.524000,5.227000,11.116000,16.014000
road2937,15.549000,7.135000,14.006000,22.925000
road2938,16.433000,5.283000,15.649000,22.061000
road2939,14.919000,3.906000,14.585000,18.317000
road2941,13.404000,5.821000,12.848000,17.075000
road2942,14.568000,9.600000,14.110000,24.220000
road2944,14.705000,8.990000,14.696000,23.759000
road2945,11.443000,12.562000,7.515000,14.224000
road2946,13.344000,5.421000,12.742000,16.400000
road2947,23.982000,8.844000,22.644000,32.293000
road2949,23.680000,6.691000,23.015000,29.964000
road295,14.878000,5.195000,13.323000,20.385000
road2951,22.148000,7.244000,21.697000,28.518000
road2955,9.120000,3.476000,8.677000,12.793000
road2957,12.652000,8.340000,11.027000,15.403000
road2960,14.723000,4.293000,14.459000,17.653000
road2962,11.136000,3.045000,11.109000,13.694000
road2964,8.659000,3.640000,9.127000,12.189000
road2965,8.035000,3.246000,8.002000,10.884000
road2966,18.139000,8.598000,17.300000,26.139000
road2967,11.915000,3.657000,11.460000,15.501000
road2969,12.228000,2.493000,11.168000,14.962000
road297,20.092000,6.922000,19.562000,26.077000
road2971,10.665000,6.453000,9.798000,13.530000
road2973,14.720000,5.909000,13.428000,19.079000
road2974,12.330000,5.308000,11.540000,15.949000
road2975,13.776000,7.203000,12.617000,17.710000
road2978,4.337000,2.854000,3.361000,7.204000
road2979,12.234000,4.560000,11.941000,15.187000
road2981,9.646000,2.974000,9.742000,12.421000
road2985,13.657000,7.910000,12.242000,20.626000
road2988,11.167000,3.906000,10.912000,14.488000
road299,12.971000,4.630000,11.798000,16.899000
road2994,15.063000,6.027000,14.895000,20.612000
road2997,16.993000,5.000000,17.000000,22.151000
road2998,6.794000,7.257000,3.767000,14.035000
road3000,6.575000,6.789000,3.850000,12.292000
road3007,13.027000,10.459000,10.063000,25.411000
road3008,19.788000,8.010000,17.543000,28.138000
road3010,7.192000,7.498000,3.653000,15.072000
road3011,16.516000,5.734000,15.660000,23.318000
road3012,17.009000,8.241000,16.017000,18.307000
road3014,19.034000,5.434000,17.817000,23.624000
road3018,18.666000,4.707000,18.203000,23.766000
road3028,27.818000,9.302000,26.729000,37.304000
road303,14.358000,4.842000,13.466000,19.345000
road3033,10.291000,3.333000,9.860000,12.750000
road3037,10.291000,3.333000,9.860000,12.750000
road3039,7.217000,2.969000,6.578000,10.163000
road3042,15.587000,3.371000,15.330000,18.714000
road3043,16.081000,3.551000,15.236000,18.647000
road3044,7.217000,2.969000,6.578000,10.163000
road3047,14.712000,5.650000,14.294000,18.724000
road3049,16.204000,4.576000,15.539000,18.688000
road305,14.235000,6.002000,13.451000,19.094000
road3051,19.977000,7.115000,18.913000,26.931000
road3053,20.171000,7.437000,19.183000,28.723000
road3060,16.837000,10.069000,14.995000,18.559000
road3062,17.491000,5.205000,16.700000,21.594000
road3064,12.927000,6.462000,11.384000,15.080000
road3066,17.370000,7.897000,16.413000,19.833000
road3068,15.032000,4.541000,14.803000,18.655000
road3069,17.271000,5.358000,16.993000,23.253000
road3071,26.695000,8.228000,25.243000,34.447000
road3072,21.930000,8.632000,22.204000,30.384000
road3075,23.623000,7.904000,23.653000,31.119000
road3076,21.930000,8.632000,22.204000,30.384000
road3077,11.500000,6.237000,11.467000,17.028000
road3079,26.187000,8.899000,25.074000,35.137000
road3080,12.720000,6.196000,12.409000,15.147000
road3081,12.337000,5.375000,11.685000,15.476000
road3082,19.998000,8.593000,20.112000,29.027000
road3084,19.362000,13.441000,17.934000,33.717000
road3085,22.288000,10.191000,21.182000,32.065000
road3087,23.068000,7.855000,23.972000,30.587000
road3088,40.694000,12.374000,39.216000,53.517000
road3089,20.720000,7.090000,20.558000,26.612000
road3092,19.467000,12.642000,23.540000,31.912000
road3093,12.307000,8.355000,13.201000,20.466000
road3095,13.652000,8.544000,14.838000,21.708000
road3096,18.921000,7.655000,18.171000,25.563000
road3097,11.596000,7.502000,11.038000,19.034000
road3098,24.379000,8.122000,23.004000,31.966000
road3099,19.936000,7.008000,19.062000,25.391000
road3100,21.189000,9.058000,19.713000,32.165000
road3101,14.155000,4.087000,15.288000,17.592000
road3103,18.658000,3.512000,18.366000,21.458000
road3104,13.088000,4.940000,12.639000,17.186000
road3105,13.688000,4.930000,12.993000,15.311000
road3106,22.662000,9.850000,20.791000,26.764000
road3107,12.104000,3.873000,12.580000,15.659000
road3109,8.936000,4.287000,7.520000,13.922000
road3110,16.000000,2.916000,16.315000,17.940000
road3111,8.977000,4.036000,8.394000,13.668000
road3112,16.912000,6.425000,15.623000,19.013000
road3114,11.211000,8.137000,8.129000,20.356000
road3115,16.912000,6.425000,15.623000,19.013000
road3116,19.045000,5.862000,19.032000,24.276000
road3118,19.045000,5.862000,19.032000,24.276000
road3119,18.954000,6.371000,19.097000,24.558000
road3120,16.665000,5.399000,16.154000,22.125000
road3121,16.149000,4.499000,15.411000,20.149000
road3122,12.821000,3.758000,12.924000,15.863000
road3123,10.063000,6.631000,9.161000,13.553000
road3124,13.552000,6.846000,12.875000,19.928000
road3127,16.208000,8.660000,14.546000,20.976000
road3128,19.555000,6.130000,19.072000,25.243000
road3130,14.730000,7.835000,13.461000,21.193000
road3134,12.348000,3.698000,11.798000,16.268000
road3135,15.834000,3.584000,15.383000,19.807000
road3137,27.081000,9.520000,26.404000,36.789000
road3138,14.038000,3.149000,13.230000,17.373000
road3139,18.111000,3.924000,18.010000,21.121000
road3140,22.726000,8.847000,21.568000,31.515000
road3141,9.587000,2.955000,9.252000,12.929000
road3144,27.081000,9.520000,26.404000,36.789000
road3145,22.935000,8.638000,21.657000,31.896000
road3146,11.386000,3.473000,11.380000,14.238000
road3147,14.837000,3.485000,14.501000,17.440000
road3149,17.304000,4.313000,17.603000,20.524000
road315,25.032000,9.544000,24.008000,34.669000
road3151,15.769000,4.694000,15.678000,18.915000
road3153,19.551000,3.128000,19.289000,22.572000
road3154,17.626000,4.572000,18.240000,21.371000
road3156,10.351000,3.186000,10.070000,13.142000
road3157,21.030000,8.352000,19.934000,29.242000
road3158,25.992000,8.983000,24.681000,34.946000
road3159,10.683000,5.137000,9.577000,14.792000
road3161,14.659000,5.883000,13.644000,19.339000
road3162,9.760000,4.659000,8.881000,15.556000
road3163,15.188000,6.011000,14.705000,22.505000
