CONNECTION ID,# EDGES,EDGE IDS
road435,1,-2498997#0
road436,1,2498997#0
road437,2,-2483870#1,-29078577#0
road438,1,-2498997#0
road439,8,-2498997#1,22753254,22753255,2498997#1,34083178,34083179,34083180,34083181
road440,1,154540886
road441,1,154540890
road442,1,2483868#0
road443,1,67449831
road444,1,-2483870#0
road445,2,-2483870#1,2483870#1
road446,1,-29078577#0
road447,2,2483870#1,29078577#0
road448,6,-18122226#0,-22780529,-2483870#0,18122226#0,22780529,2483870#0
road449,1,-22780528
road450,1,18122226#1
road451,1,2483870#0
road452,1,49513439
road453,6,-2415108,-2417071#0,-39939643,2415108,2417071#0,39939643
road454,1,22780528
road455,2,2417071#1,39939643
road456,2,-586604815,586604815
road457,1,18122230#0
road458,1,586604815
road459,12,-18122224#0,-18122224#1,-22780531#1,-2483764#0,-38846764#0,-6012202#0,18122224#0,18122224#1,22780531#1,2483764#0,38846764#0,6012202#0
road460,2,-22780531#1,2483764#0
road461,3,-38846763,38846764#1,6012202#0
road462,1,-586604815
road463,1,18122224#2
road464,1,586604815
road465,3,-38846764#1,-6012202#0,38846763
road466,8,-484390364#0,-484390364#1,-6012202#1,-6012202#2,484390364#0,484390364#1,6012202#1,6012202#2
road467,1,38846764#1
road468,1,38846765#0
road469,1,484390364#2
road470,1,-207807965#1
road471,2,-207807965#2,207807965#2
road472,1,-484390364#2
road473,2,-5067441#2,5067442#0
road474,1,-6012205#0
road475,1,6012205#1
road476,1,6012205#0
road477,1,-207807966#1
road478,6,-207807966#2,-207807966#3,-6012209,207807966#2,207807966#3,6012209
road479,1,-6012209
road480,1,207807966#3
road481,1,4839807#0
road482,1,-4839807#0
road483,4,-4839807#1,-565189539#0,4839807#1,565189539#0
road484,1,565189539#1
road485,1,5831747
road486,6,-565189539#1,-565189539#2,-565189539#3,565189539#1,565189539#2,565189539#3
road487,1,-565189539#1
road488,1,565189539#3
road489,6,-231133301#0,-38876076,-4839805#1,231133301#0,38876076,4839805#1
road490,1,-299392149#1
road491,1,-4688146#2
road492,1,-4839805#1
road493,1,231133301#0
road494,1,-4688146#2
road495,1,4688146#2
road496,1,76371835#0
road497,1,-231133184#0
road498,6,-231133185#0,-4688146#0,-4688146#1,231133185#0,4688146#0,4688146#1
road499,2,231133185#1,4839785#0
road500,1,4688146#2
road501,1,4839792#0
road502,10,-173302197,-26304813#0,-26304813#1,-4839792#0,-4839792#1,173302197,26304813#0,26304813#1,4839792#0,4839792#1
road503,1,-4839792#0
road504,1,173302196#0
road505,1,4839792#3
road506,1,-173302196#0
road507,12,-173302196#2,-231133183#6,-231133183#8,-372812005#2,-50883157,-50883166#0,173302196#2,231133183#6,231133183#8,372812005#2,50883157,50883166#0
road508,1,-231133183#4
road509,2,-372812005#2,50883157
road510,1,195363390#0
road511,1,50883169
road512,2,-372812005#0,-5884908
road513,6,-372812005#1,-50883153#0,-50883156,372812005#1,50883153#0,50883156
road514,2,-50883157,372812005#2
road515,1,50883153#1
road516,4,-26304455#0,-26304455#1,26304455#0,26304455#1
road517,2,-26304457,6235510#1
road518,1,-6235510#1
road519,1,-5924485#2
road520,2,-84842552,84842552
road521,1,5924485#4
road522,2,-5924483#0,8297011#0
road523,2,-5924483#1,5924483#1
road524,1,5924483#2
road525,4,-649646585#0,-649646591,649646585#0,649646591
road526,1,-649646591
road527,1,649646585#0
road528,2,-5924490,5924490
road529,1,-649646600
road530,1,699126505#0
road531,8,-474506097#0,-4984297,-51567593#0,-51567593#3,474506097#0,4984297,51567593#0,51567593#3
road532,3,-51567593#3,474506097#1,51567593#1
road533,1,8491450#0
road534,1,-8491450#0
road535,2,-8491450#1,8491450#1
road536,1,48704538
road537,1,8491450#2
road538,2,-246286778#0,-4312428#2
road539,17,-246286778#2,-246286778#3,-246286778#4,-246286778#5,-246286778#6,-4312427#6,-8383746,-8491450#3,246286778#2,246286778#3,246286778#4,246286778#5,246286778#6,4312427#6,48703383,8383746,8491450#3
road540,2,-4312427#6,48704533#0
road541,1,-4369522#4
road542,1,-8491450#2
road543,1,246286778#6
road544,2,-138317286#3,-250462736#4
road545,12,-246286778#0,-250462736#6,-250462736#7,-389535126#0,-5931077#0,-76375199,246286778#0,250462736#6,250462736#7,389535126#0,5931077#0,76375199
road546,1,-4312428#1
road547,2,246286778#0,4312428#2
road548,1,389535126#0
road549,1,5931077#1
road550,1,5931080#0
road551,2,-138317286#0,-250462736#1
road552,8,-138317286#1,-138317286#2,-250462736#3,-250462736#4,138317286#1,138317286#2,250462736#3,250462736#4
road553,2,138317286#3,250462736#4
road554,1,-250462736#0
road555,8,-250462736#1,-250466878#0,-545971394,-5930715#2,250462736#1,250466878#0,545971394,5930715#2
road556,2,-5930715#2,-5931079
road557,2,138317286#0,250462736#1
road558,1,250466878#0
road559,1,4483329#0
road560,1,-116371765
road561,2,-25816466#2,25816469#1
road562,4,-25816469#0,-673385589,25816469#0,673385589
road563,1,-4483329#0
road564,2,4483329#2,673385589
road565,10,-25816466#0,-25816466#1,-4483329#2,-51689088,-673385589,25816466#0,25816466#1,4483329#2,51689088,673385589
road566,2,-40228219,-40228241#1
road567,2,-4483329#2,-673385589
road568,2,25816466#1,673385589
road569,1,4483329#3
road570,16,-228283826#1,-40228241#0,-40228241#1,-4158221#3,-4158221#4,-4158221#5,-7985963#0,-7985963#1,228283826#1,40228241#0,40228241#1,4158221#3,4158221#4,4158221#5,7985963#0,7985963#1
road571,2,-228283826#1,-4158221#3
road572,2,40228219,40228241#1
road573,1,4158221#6
road574,1,7985963#2
road575,4,-500546536#0,500546536#0,500546632,500546829
road576,1,500546536#0
road577,1,-4158224#2
road578,4,375132333,375132335,375132336,40228510
road579,1,40228534
road580,1,500546829
road581,1,-7985980#1
road582,2,-7985980#2,7985980#2
road583,1,618395008
road584,1,7985980#3
road585,2,-7985980#3,7985980#3
road586,1,-7985980#3
road587,1,7544085#1
road588,1,7985980#3
road589,6,-19880973#0,-19880973#1,-19880973#2,19880973#0,19880973#1,19880973#2
road590,2,-19880973#0,7544085#2
road591,2,19880973#3,25815917#0
road592,11,-19880973#0,-25670225,-25670226,-37783469,-4447349#1,19880973#0,25670225,25670226,37783469,4447349#1,7544085#2
road593,1,-4447349#1
road594,1,19880973#0
road595,1,37783469
road596,1,-37783469
road597,2,-10813057#0,10813057#0
road598,1,-37308933#0
road599,1,37308933#1
road600,10,-22925711#0,-22925711#1,-37308933#1,-37308933#2,-37308933#3,22925711#0,22925711#1,37308933#1,37308933#2,37308933#3
road601,1,-22925712#0
road602,1,-37308933#1
road603,1,22925712#1
road604,1,37308933#4
road605,1,-22925713
road606,1,-26199560#3
road607,4,-26199560#4,-26199560#5,26199560#4,26199560#5
road608,1,26199560#5
road609,2,-22925714,-22925715
road610,1,-26199560#5
road611,6,-26199560#6,-26199560#7,-26199560#8,26199560#6,26199560#7,26199560#8
road612,2,-26709645#0,26709645#0
road613,1,-26709645#0
road614,1,26709645#0
road615,1,-26709645#0
road616,1,-4680840
road617,1,26709645#0
road618,1,4680840
road619,2,-19727047,-22760646#0
road620,6,-22760646#1,-4680836#0,-4680840,22760646#1,4680836#0,4680840
road621,2,-4680840,22760646#1
road622,1,4680836#1
road623,1,4680840
road624,2,-22760646#1,4680840
road625,4,-22760646#2,220412585#1,22760646#2,4680851#1
road626,2,211959862,54567246#0
road627,1,22760646#2
road628,1,4680851#1
road629,1,396327478#1
road630,1,4680851#2
road631,1,694352951
road632,10,-161652141#16,-583871396#0,-583871396#1,161652141#16,4680848,583871396#0,583871396#1,694352951,8386761#2,8386761#3
road633,1,-161652141#16
road634,1,-8386760#1
road635,1,694352951
road636,1,-156159285#4
road637,1,-9344819#0
road638,1,9344819#1
