ID,mean,std,p50,p85
-120241881,16.654000,9.450000,14.470000,23.884000
-120241882,15.572000,9.333000,13.411000,21.580000
-121526262#0,17.380000,14.019000,13.599000,25.224000
-121526262#1,17.380000,14.019000,13.599000,25.224000
-121526279,21.572000,6.199000,21.156000,26.893000
-121904678#0,14.861000,4.895000,15.071000,19.699000
-121904678#1,14.861000,4.895000,15.071000,19.699000
-121992542#0,14.117000,9.118000,13.111000,22.176000
-121992542#1,14.117000,9.118000,13.111000,22.176000
-121992542#2,14.117000,9.118000,13.111000,22.176000
-122056182,17.244000,11.769000,14.262000,30.133000
-122768812#0,7.477000,4.865000,6.025000,12.119000
-122768812#1,7.477000,4.865000,6.025000,12.119000
-122768812#2,7.477000,4.865000,6.025000,12.119000
-122768812#3,7.477000,4.865000,6.025000,12.119000
-123359311#0,15.906000,5.055000,16.604000,20.733000
-123359311#1,15.906000,5.055000,16.604000,20.733000
-126482346,12.090000,3.767000,12.097000,15.250000
-129373078,25.796000,5.544000,25.187000,30.654000
-129375494,30.923000,11.197000,29.431000,42.448000
-129375495#0,28.912000,6.222000,28.323000,34.615000
-129375495#1,28.912000,6.222000,28.323000,34.615000
-129375495#2,28.912000,6.222000,28.323000,34.615000
-129375496#0,30.875000,11.771000,29.753000,42.523000
-129375496#1,30.875000,11.771000,29.753000,42.523000
-129375498#0,33.321000,11.417000,31.803000,45.000000
-129375498#1,33.321000,11.417000,31.803000,45.000000
-129375498#2,33.321000,11.417000,31.803000,45.000000
-129375498#3,33.321000,11.417000,31.803000,45.000000
-129375498#4,33.321000,11.417000,31.803000,45.000000
-129375498#5,33.321000,11.417000,31.803000,45.000000
-129781885,15.553000,7.481000,14.642000,19.269000
-130628449#0,13.459000,5.854000,12.802000,18.406000
-130628449#1,13.459000,5.854000,12.802000,18.406000
-132318682#0,15.009000,3.038000,14.919000,17.821000
-132318682#1,15.009000,3.038000,14.919000,17.821000
-132318682#2,15.009000,3.038000,14.919000,17.821000
-132318682#3,15.009000,3.038000,14.919000,17.821000
-132318682#4,15.009000,3.038000,14.919000,17.821000
-133730761,9.456000,3.319000,9.024000,12.412000
-134630572#0,18.041000,8.906000,18.343000,26.521000
-134630572#1,18.041000,8.906000,18.343000,26.521000
-134630572#2,18.041000,8.906000,18.343000,26.521000
-134630572#3,18.041000,8.906000,18.343000,26.521000
-134630573#0,13.033000,5.313000,12.644000,18.354000
-134630573#1,13.033000,5.313000,12.644000,18.354000
-134630573#2,13.033000,5.313000,12.644000,18.354000
-134630577#0,13.801000,8.832000,12.818000,22.870000
-134630578#0,17.729000,6.452000,17.548000,23.381000
-134630578#1,17.729000,6.452000,17.548000,23.381000
-134630579#0,14.865000,5.873000,13.989000,18.002000
-134630579#1,14.865000,5.873000,13.989000,18.002000
-134630579#2,14.865000,5.873000,13.989000,18.002000
-134630579#3,14.865000,5.873000,13.989000,18.002000
-135694809#0,10.055000,3.786000,9.816000,12.999000
-135694809#1,10.055000,3.786000,9.816000,12.999000
-135694809#2,10.055000,3.786000,9.816000,12.999000
-136989079#0,20.344000,9.619000,19.184000,30.259000
-136989079#1,20.344000,9.619000,19.184000,30.259000
-136989079#2,20.344000,9.619000,19.184000,30.259000
-136989079#4,20.344000,9.619000,19.184000,30.259000
-137515284#0,14.020000,7.139000,12.074000,17.423000
-137515284#1,14.020000,7.139000,12.074000,17.423000
-137518417#0,14.061000,8.044000,12.976000,16.962000
-137518417#1,14.061000,8.044000,12.976000,16.962000
-137519280#0,20.659000,8.060000,19.342000,28.057000
-137519280#1,20.659000,8.060000,19.342000,28.057000
-137519280#2,20.659000,8.060000,19.342000,28.057000
-137519280#3,20.659000,8.060000,19.342000,28.057000
-13790340#0,21.114000,10.449000,19.644000,26.879000
-13790340#1,21.114000,10.449000,19.644000,26.879000
-13790340#10,21.114000,10.449000,19.644000,26.879000
-13790340#11,21.114000,10.449000,19.644000,26.879000
-13790340#12,21.114000,10.449000,19.644000,26.879000
-13790340#2,21.114000,10.449000,19.644000,26.879000
-13790340#3,21.114000,10.449000,19.644000,26.879000
-13790340#4,21.114000,10.449000,19.644000,26.879000
-13790340#5,21.114000,10.449000,19.644000,26.879000
-13790340#6,21.114000,10.449000,19.644000,26.879000
-13790340#7,21.114000,10.449000,19.644000,26.879000
-13790340#8,21.114000,10.449000,19.644000,26.879000
-13790340#9,21.114000,10.449000,19.644000,26.879000
-138951236#0,15.190000,4.366000,14.692000,19.184000
-138951236#1,15.190000,4.366000,14.692000,19.184000
-139420244,11.035000,6.250000,10.879000,16.603000
-139732196#0,22.784000,9.543000,21.652000,32.087000
-139732196#1,22.784000,9.543000,21.652000,32.087000
-139732196#2,22.784000,9.543000,21.652000,32.087000
-139732196#3,22.784000,9.543000,21.652000,32.087000
-139732196#4,22.784000,9.543000,21.652000,32.087000
-140081171#0,15.375000,7.345000,14.219000,18.339000
-140081171#1,15.375000,7.345000,14.219000,18.339000
-140081171#2,15.375000,7.345000,14.219000,18.339000
-140081171#3,15.375000,7.345000,14.219000,18.339000
-140081181,13.015000,10.714000,9.260000,24.996000
-140081200#0,13.188000,5.708000,12.114000,19.173000
-140081200#1,13.188000,5.708000,12.114000,19.173000
-140081204,19.187000,9.876000,17.882000,27.158000
-140152274,14.371000,9.898000,10.974000,21.182000
-140152275,14.865000,14.119000,10.018000,22.925000
-140152276,21.485000,12.337000,18.020000,31.968000
-140237860,31.173000,11.045000,29.864000,41.765000
-140340148,18.661000,11.431000,17.905000,29.727000
-140340149#0,22.710000,11.589000,21.966000,34.017000
-140340149#1,22.710000,11.589000,21.966000,34.017000
-140635065,8.912000,7.562000,5.755000,16.729000
-140836650,14.833000,9.441000,14.266000,24.141000
-142399853,22.595000,9.690000,21.992000,32.500000
-142399854,19.204000,4.629000,18.706000,23.162000
-142680565,4.261000,4.902000,2.023000,8.455000
-142680577,10.988000,6.185000,9.624000,17.556000
-144601659,15.789000,9.620000,14.574000,25.890000
-145344751,5.856000,4.952000,4.038000,10.201000
-145640236#0,17.317000,9.444000,15.407000,23.337000
-145640236#1,17.317000,9.444000,15.407000,23.337000
-145640236#2,17.317000,9.444000,15.407000,23.337000
-145640236#3,17.317000,9.444000,15.407000,23.337000
-146418648#0,15.245000,9.695000,15.040000,25.049000
-146418648#1,15.245000,9.695000,15.040000,25.049000
-146418648#2,15.245000,9.695000,15.040000,25.049000
-146418648#3,15.245000,9.695000,15.040000,25.049000
-146418648#4,15.245000,9.695000,15.040000,25.049000
-146418662,10.722000,3.937000,10.304000,14.112000
-146590642#0,23.805000,9.593000,22.473000,33.414000
-146590642#1,23.805000,9.593000,22.473000,33.414000
-147185927,9.236000,2.999000,9.131000,12.450000
-147980652#0,17.438000,5.742000,16.786000,22.547000
-147980652#1,17.438000,5.742000,16.786000,22.547000
-147980652#2,17.438000,5.742000,16.786000,22.547000
-147980654#0,16.723000,7.085000,16.165000,23.775000
-147980654#1,16.723000,7.085000,16.165000,23.775000
-147980654#2,16.723000,7.085000,16.165000,23.775000
-147984991#0,10.898000,3.856000,10.150000,13.745000
-147984991#1,10.898000,3.856000,10.150000,13.745000
-147984991#2,10.898000,3.856000,10.150000,13.745000
-147991511#0,10.263000,3.911000,9.396000,13.529000
-147991511#1,10.263000,3.911000,9.396000,13.529000
-147997980#0,16.704000,6.647000,16.127000,22.506000
-147997980#1,16.704000,6.647000,16.127000,22.506000
-147997980#2,16.704000,6.647000,16.127000,22.506000
-147997980#3,16.704000,6.647000,16.127000,22.506000
-147997980#4,16.704000,6.647000,16.127000,22.506000
-147997984#0,10.703000,5.586000,10.075000,14.244000
-147997984#1,10.703000,5.586000,10.075000,14.244000
-147997984#2,10.703000,5.586000,10.075000,14.244000
-148008512#0,13.396000,7.625000,12.548000,21.779000
-148008512#1,13.396000,7.625000,12.548000,21.779000
-148008512#2,13.396000,7.625000,12.548000,21.779000
-148008512#3,13.396000,7.625000,12.548000,21.779000
-148008512#4,13.396000,7.625000,12.548000,21.779000
-148008512#5,13.396000,7.625000,12.548000,21.779000
-148008512#6,13.396000,7.625000,12.548000,21.779000
-148008512#7,13.396000,7.625000,12.548000,21.779000
-148008512#8,13.396000,7.625000,12.548000,21.779000
-148008512#9,13.396000,7.625000,12.548000,21.779000
-148011238#0,10.777000,9.121000,7.955000,18.840000
-148011238#1,10.777000,9.121000,7.955000,18.840000
-148011238#2,10.777000,9.121000,7.955000,18.840000
-148011238#3,10.777000,9.121000,7.955000,18.840000
-148011238#4,10.777000,9.121000,7.955000,18.840000
-148011238#5,10.777000,9.121000,7.955000,18.840000
-148130836,15.033000,6.710000,14.323000,21.307000
-148377822#0,16.492000,6.457000,15.879000,21.901000
-148377822#1,16.492000,6.457000,15.879000,21.901000
-148377822#2,16.492000,6.457000,15.879000,21.901000
-148386202,14.607000,4.436000,15.116000,18.589000
-148386203,9.640000,2.859000,10.488000,12.012000
-148386205,9.898000,4.845000,9.318000,13.505000
-148391192#0,12.779000,5.147000,12.654000,17.463000
-148391192#1,12.779000,5.147000,12.654000,17.463000
-148519535,12.285000,6.080000,11.859000,17.158000
-148519536,11.434000,4.271000,11.581000,14.620000
-148677426#0,16.851000,6.638000,15.295000,22.254000
-148677426#1,16.851000,6.638000,15.295000,22.254000
-148677433#0,11.527000,7.849000,9.116000,14.834000
-148677433#1,11.527000,7.849000,9.116000,14.834000
-148677433#2,11.527000,7.849000,9.116000,14.834000
-148677464,17.645000,8.067000,17.376000,23.128000
-148871599,11.385000,4.863000,11.024000,15.880000
-148890687#0,9.474000,5.044000,8.514000,13.610000
-148890687#1,9.474000,5.044000,8.514000,13.610000
-148890709,11.813000,6.991000,10.748000,18.082000
-148893868#0,9.555000,4.702000,8.938000,12.626000
-148893868#1,9.555000,4.702000,8.938000,12.626000
-148893868#2,9.555000,4.702000,8.938000,12.626000
-149052140#0,7.557000,4.610000,6.732000,12.304000
-149052140#1,7.557000,4.610000,6.732000,12.304000
-150182429#1,11.405000,9.366000,10.842000,20.911000
-150182429#3,11.405000,9.366000,10.842000,20.911000
-150182429#4,11.405000,9.366000,10.842000,20.911000
-150182429#5,11.405000,9.366000,10.842000,20.911000
-150182429#7,11.405000,9.366000,10.842000,20.911000
-150695588,19.162000,7.648000,19.029000,25.764000
-150695589#0,10.975000,9.734000,8.760000,21.044000
-150695589#1,10.975000,9.734000,8.760000,21.044000
-150695589#2,10.975000,9.734000,8.760000,21.044000
-150695589#3,10.975000,9.734000,8.760000,21.044000
-150695591,12.054000,4.585000,11.343000,14.854000
-150695598#0,16.425000,9.016000,15.739000,25.546000
-150695598#1,16.425000,9.016000,15.739000,25.546000
-150695598#2,16.425000,9.016000,15.739000,25.546000
-150695599#0,11.189000,9.215000,7.529000,21.135000
-150698250,10.651000,4.924000,9.409000,14.447000
-150698258#0,6.424000,5.968000,3.943000,12.174000
-150698258#1,6.424000,5.968000,3.943000,12.174000
-150698261#0,12.435000,4.828000,11.297000,15.474000
-150698261#1,12.435000,4.828000,11.297000,15.474000
-150700763#0,11.758000,8.637000,9.553000,20.660000
-150700763#1,11.758000,8.637000,9.553000,20.660000
-150700763#2,11.758000,8.637000,9.553000,20.660000
-150700763#3,11.758000,8.637000,9.553000,20.660000
-150700763#4,11.758000,8.637000,9.553000,20.660000
-150700763#5,11.758000,8.637000,9.553000,20.660000
-15086103#0,17.172000,10.272000,16.170000,27.872000
-15086103#1,17.172000,10.272000,16.170000,27.872000
-15087197#0,5.194000,4.384000,3.371000,9.569000
-15087197#1,5.194000,4.384000,3.371000,9.569000
-15087197#2,5.194000,4.384000,3.371000,9.569000
-15087197#3,5.194000,4.384000,3.371000,9.569000
-15087197#4,5.194000,4.384000,3.371000,9.569000
-15087197#5,5.194000,4.384000,3.371000,9.569000
-151356289,10.032000,4.574000,9.467000,13.859000
-151356295,11.571000,5.659000,13.590000,16.983000
-152822405#0,11.415000,4.451000,11.689000,15.018000
-152822405#1,11.415000,4.451000,11.689000,15.018000
-153173956,15.259000,7.292000,14.173000,20.895000
-153173957,14.095000,6.722000,12.973000,19.503000
-153173958,14.291000,6.175000,13.379000,18.850000
-153173959#0,12.171000,4.387000,11.472000,15.858000
-153173959#1,12.171000,4.387000,11.472000,15.858000
-153342402#0,6.406000,6.580000,3.765000,12.228000
-153342402#1,6.406000,6.580000,3.765000,12.228000
-153607843#0,12.376000,7.726000,10.632000,15.634000
-153607843#1,12.376000,7.726000,10.632000,15.634000
-153607843#2,12.376000,7.726000,10.632000,15.634000
-153719895#0,9.165000,4.724000,8.340000,13.160000
-153719895#1,9.165000,4.724000,8.340000,13.160000
-153789245#0,15.679000,6.622000,14.403000,20.784000
-153789245#1,15.679000,6.622000,14.403000,20.784000
-153789245#2,15.679000,6.622000,14.403000,20.784000
-153958540,17.888000,6.083000,17.376000,24.016000
-153958546,17.613000,4.101000,17.983000,21.757000
-154029150#0,9.101000,7.451000,6.813000,17.389000
-154029150#1,9.101000,7.451000,6.813000,17.389000
-154029150#2,9.101000,7.451000,6.813000,17.389000
-154029153#0,12.163000,5.435000,10.236000,16.850000
-154029153#1,12.163000,5.435000,10.236000,16.850000
-154029153#2,12.163000,5.435000,10.236000,16.850000
