CONNECTION ID,# EDGES,EDGE IDS
road714,1,11183460
road715,1,-11183460
road716,1,11183460
road717,1,-11183460
road718,1,11183460
road719,1,-11183460
road720,1,-11200570#0
road721,1,11200570#0
road722,1,-157610626#7
road723,1,157610626#7
road724,1,-210605785
road725,1,210605785
road726,1,-210605814
road727,1,210605814
road728,1,-135787537
road729,1,135787537
road730,1,-77691298#1
road731,1,77691298#1
road732,1,-11181733
road733,1,-210709378
road734,1,210709379#0
road735,1,157847888
road736,1,-157847888
road737,1,157847888
road738,1,44077108#1
road739,1,77962553
road740,1,-77691887
road741,1,77691887
road742,1,-73540509#8
road743,1,73540509#8
road744,1,-11189849
road745,1,11189849
road746,1,-210709360
road747,1,210709360
road748,1,-11182364
road749,1,11182364
road750,1,-11181861
road751,1,11181861
road752,1,-157391115
road753,1,157391115
road754,1,-11200318
road755,1,213563529
road756,1,213563541
road757,1,49887047
road758,1,32086494
road759,1,548660523
road760,1,-84084528#2
road761,1,84084528#2
road762,1,-127605051#3
road763,1,127605051#4
road764,1,-11183460
road765,1,11183460
road766,1,-11183460
road767,1,11183460
road768,1,11183460
road769,1,-11183460
road770,1,11183460
road771,1,-11183460
road772,1,11183460
road773,1,-11183460
road774,1,11183460
road775,1,-11183460
road776,1,11183460
road777,1,-11183460
road778,1,11183460
road779,1,-11183460
road780,1,-11200570#0
road781,1,11200570#0
road782,1,-157610626#6
road783,1,157610626#7
road784,1,-210605785
road785,1,210605785
road786,1,-210605814
road787,1,210605814
road788,1,-135787537
road789,1,135787537
road790,1,77691298#1
road791,1,-77691298#1
road792,1,-11181733
road793,1,11181733
road794,1,-210709378
road795,1,210709378
road796,1,-157847888
road797,1,620891607
road798,2,620891608,77962553
road799,1,620891606#1
road800,1,77962553
road801,1,149984564#0
road802,1,-149984564#0
road803,1,149984564#0
road804,1,-149984564#0
road805,1,149984564#1
road806,1,77691887
road807,1,-149984564#1
road808,1,149984564#1
road809,1,-149984564#1
road810,1,-73540509#8
road811,1,73540509#8
road812,1,-11189849
road813,1,11189849
road814,1,-210709360
road815,1,210709360
road816,1,-11182364
road817,1,11182364
road818,1,-11181861
road819,1,11181861
road820,1,-157391115
road821,1,157391115
road822,1,213563541
road823,1,213563541
road824,1,-11200318
road825,1,11200318
road826,1,49887047
road827,1,32086494
road828,1,548660523
road829,1,-84084528#1
road830,1,84084528#2
road831,1,-127605051#2
road832,1,127605051#3
road833,1,-11183460
road834,1,11183460
road835,1,11183460
road836,1,-11183460
road837,1,11183460
road838,1,-11183460
road839,1,11183460
road840,1,-11183460
road841,1,11183460
road842,1,-11183460
road843,1,11183460
road844,1,-11183460
road845,1,11183460
road846,1,-11183460
road847,1,11183460
road848,1,-11183460
road849,1,11183460
road850,1,-11183460
road851,1,11183460
road852,1,-11183460
road853,1,11183460
road854,1,-11183460
road855,1,11183460
road856,1,-11183460
road857,1,549743570
road858,1,-157610639
road859,1,-549743570
road860,1,11200570#0
road861,1,127605058
road862,1,-127605058
road863,1,127605058
road864,1,-127605058
road865,1,127605058
road866,1,-127605058
road867,1,127605058
road868,1,-127605058
road869,1,127605058
road870,1,-127605058
road871,1,127605058
road872,1,-127605058
road873,1,127605058
road874,1,-127605058
road875,1,127605058
road876,1,-127605058
road877,1,127605058
road878,1,-127605058
road879,1,127605057
road880,1,-127605057
road881,1,127605057
road882,1,-127605057
road883,1,127605057
road884,1,-127605057
road885,1,127605057
road886,1,-127605057
road887,1,127605057
road888,1,-127605057
road889,1,127605057
road890,1,-127605057
road891,1,127605057
road892,1,-127605057
road893,1,127605057
road894,1,-127605057
road895,1,127605057
road896,1,-127605057
road897,1,127605057
road898,1,-127605057
road899,1,127605057
road900,1,-127605057
road901,1,127605057
road902,1,-127605057
road903,1,127605057
road904,1,-127605057
road905,1,127605057
road906,1,-127605057
road907,1,127605061
road908,1,-127605061
road909,1,127605061
road910,1,-127605061
road911,1,127605061
road912,1,-127605061
road913,1,127605061
road914,1,-127605061
road915,1,207671967#0
road916,1,-207671967#0
road917,1,-210605837
road918,1,207671967#1
road919,1,-207671967#1
road920,1,207671967#1
road921,1,-207671967#1
road922,1,207671967#1
road923,1,-207671967#1
road924,1,207671967#1
road925,1,-207671967#1
road926,1,207671968#0
road927,1,-207671968#0
road928,1,207671968#0
road929,1,-207671968#0
road930,1,207671968#1
road931,1,-207671968#1
road932,1,207671968#1
road933,1,-207671968#1
road934,1,127605062#0
road935,1,-127605062#0
road936,1,127605062#1
road937,1,-127605062#1
road938,1,-157610626#5
road939,1,157610607#0
road940,1,157610626#6
road941,1,-157610607#0
road942,1,157610607#0
road943,1,-157610607#0
road944,1,157610607#1
road945,1,-157610607#1
road946,1,157610607#1
road947,1,-157610607#1
road948,1,157610607#1
road949,1,-157610607#1
road950,1,157610607#1
road951,1,-157610607#1
road952,1,157610607#1
road953,1,-157610607#1
road954,1,157610607#1
road955,1,-157610607#1
road956,1,157610607#1
road957,1,-157610607#1
road958,1,157610607#1
road959,1,-157610607#1
road960,1,157610607#1
road961,1,-11200652
road962,1,-157610607#1
road963,1,157610607#2
road964,1,210605785
road965,1,-157610607#2
road966,1,157610607#2
road967,1,-157610607#2
road968,1,157610607#2
road969,1,-157610607#2
road970,1,157610607#2
road971,1,-157610607#2
road972,1,157610607#2
road973,1,-157610607#2
road974,1,157610607#2
road975,1,-157610607#2
road976,1,157610607#2
road977,1,-157610607#2
road978,1,157610607#2
road979,1,-157610607#2
road980,1,157610607#2
road981,1,-157610607#2
road982,1,157610607#2
road983,1,-157610607#2
road984,1,157610607#2
road985,1,-157610607#2
road986,1,157610607#2
road987,1,-157610607#2
road988,1,157610607#2
road989,1,-157610607#2
road990,1,157610607#2
road991,1,-157610607#2
road992,1,157610607#2
road993,1,-157610607#2
road994,1,127605060
road995,1,-127605060
road996,1,127605060
road997,1,-127605060
road998,1,127605060
road999,1,-11201353
road1000,1,-127605060
road1001,2,-210605814,210605814
road1002,1,127605059
road1003,1,210605814
road1004,1,-127605059
road1005,1,127605059
road1006,1,-127605059
road1007,1,127605059
road1008,1,-127605059
road1009,1,127605059
road1010,1,-127605059
road1011,1,127605059
road1012,1,-127605059
road1013,1,127605059
road1014,1,-127605059
road1015,1,127605059
road1016,1,-127605059
road1017,1,127605059
road1018,1,-127605059
road1019,1,127605059
road1020,1,-127605059
road1021,1,127605059
road1022,1,-127605059
road1023,1,127605059
road1024,1,-127605032#1
road1025,1,-127605059
road1026,2,-135787537,135787537
road1027,1,135787537
road1028,1,-77691298#1
road1029,1,77691298#1
road1030,1,-210709305
road1031,1,-210709305
road1032,1,210709305
road1033,1,-210709305
road1034,1,210709305
road1035,1,-210709305
road1036,1,210709305
road1037,1,-210709305
road1038,1,210709305
road1039,1,-210709305
road1040,1,210709305
road1041,1,-210709305
road1042,1,210709305
road1043,1,-210709305
road1044,1,210709305
road1045,1,-210709305
road1046,1,210709305
road1047,1,-210709305
road1048,1,210709305
road1049,1,-210709305
road1050,1,210709305
road1051,1,-210709305
road1052,1,210709305
road1053,1,-11181733
road1054,1,11181733
road1055,1,210709378
road1056,1,-210709378
road1057,1,620891607
road1058,2,157850839#0,44077117
road1059,1,157850839#0
road1060,1,620891606#0
road1061,1,620891608
road1062,1,156283054#1
road1063,1,-73540509#8
road1064,1,73540509#8
road1065,1,-11189849
road1066,1,11189849
road1067,1,-210709360
road1068,1,210709360
road1069,1,-11182364
road1070,1,11182364
road1071,1,-11181861
road1072,1,11181861
road1073,1,-157391115
road1074,1,157391115
road1075,1,-157391027
road1076,1,-157391027
road1077,1,157391027
road1078,1,-157391027
road1079,1,157391027
road1080,1,-157391027
road1081,1,157391027
road1082,1,-157391027
road1083,1,157391027
road1084,1,-213563481
road1085,1,157391027
road1086,1,-213563481
road1087,1,213563481
road1088,1,-11186645#1
road1089,1,213563481
road1090,1,-11186645#0
road1091,1,11186645#1
road1092,1,-11186645#0
road1093,2,11186645#0,213563541
road1094,1,11186645#0
road1095,1,-11200318
road1096,1,11200318
road1097,1,32086491
road1098,1,32086494
road1099,1,548660523
road1100,1,-84084528#1
road1101,1,84084528#1
road1102,1,-84084528#1
road1103,1,84084528#1
road1104,1,-127605051#1
road1105,1,127605051#2
road1106,1,-11183460
road1107,1,11183460
road1108,1,-11183460
road1109,1,11183460
road1110,1,-157610639
road1111,1,157610639
road1112,1,-210605837
road1113,1,210605837
road1114,1,-157610626#4
road1115,1,157610626#5
road1116,1,-11200652
road1117,1,11200652
road1118,1,-11201353
road1119,1,11201353
road1120,1,-127605032#1
road1121,1,127605032#1
road1122,1,77691298#1
road1123,1,-77691298#1
road1124,1,-210709305
road1125,1,210709305
road1126,1,-210709305
road1127,1,210709305
road1128,1,-210709305
road1129,1,210709305
road1130,1,210709305
road1131,1,-210709305
road1132,1,210709305
road1133,1,-11181732
road1134,1,11181733
road1135,1,210709305
road1136,1,-11181732
road1137,1,11181732
road1138,1,-11181732
road1139,1,11181732
road1140,1,-210709378
road1141,1,210709378
road1142,1,157850839#1
road1143,1,157850839#2
road1144,1,620891605#0
road1145,1,156283054#0
road1146,1,156283054#1
road1147,1,620891604#0
road1148,1,620891604#1
road1149,1,-78390897
road1150,1,620891604#1
road1151,1,-78390897
road1152,1,78390897
road1153,1,-78390897
road1154,1,78390897
road1155,1,-78390897
road1156,1,78390897
road1157,1,-78390897
road1158,1,78390897
road1159,1,-78390897
road1160,1,78390897
road1161,1,-78390897
road1162,1,78390897
road1163,1,-78390897
road1164,1,78390897
road1165,1,78390897
road1166,1,-78390897
road1167,1,-78390897
road1168,1,78390897
road1169,1,-78390897
road1170,1,78390897
road1171,1,-78390897
road1172,1,78390897
road1173,1,-78390897
road1174,1,78390897
road1175,1,-78390897
road1176,1,78390897
road1177,1,-78390897
road1178,1,78390897
road1179,1,78390897
road1180,1,-73540509#8
road1181,1,73540509#8
road1182,1,-11189849
road1183,1,11189849
road1184,1,-210709360
road1185,1,210709360
road1186,1,-11182364
road1187,1,11182364
road1188,1,-11181861
road1189,1,11181861
road1190,1,-157391115
road1191,1,157391115
road1192,1,-157391024
road1193,1,157391024
road1194,1,-157391027
road1195,1,157391024
road1196,1,157391027
road1197,1,-11186645#0
road1198,1,-11186645#0
road1199,1,11186645#0
road1200,1,-11187636
road1201,1,11186645#0
road1202,1,11200318
road1203,1,32086491
road1204,1,32086494
road1205,1,548660523
road1206,1,-84084528#1
road1207,1,84084528#1
road1208,1,-84084528#1
road1209,1,84084528#1
road1210,1,-127605051#1
road1211,1,127605051#1
road1212,1,-11183460
road1213,1,11183460
road1214,1,-11183460
road1215,1,11183460
road1216,1,-157610639
road1217,1,157610639
road1218,1,-210605837
road1219,1,210605837
road1220,1,-157610626#4
road1221,1,157610626#4
road1222,1,-11200652
road1223,1,11200652
road1224,1,-11201353
road1225,1,11201353
road1226,1,-127605032#1
road1227,1,127605032#1
road1228,1,-210709305
road1229,1,-77691298#0
road1230,1,77691298#1
road1231,1,-210709305
road1232,1,210709305
road1233,1,-11181732
road1234,1,11181732
road1235,1,-11181732
road1236,1,11181732
road1237,1,-11180735
road1238,1,11181732
road1239,1,210709378
road1240,1,620891605#0
road1241,1,157850839#2
road1242,2,156283057,157850839#2
road1243,1,156283057
road1244,1,156283054#0
road1245,1,156283057
road1246,1,620891604#0
road1247,1,-78390897
road1248,1,-78390897
road1249,1,78390897
road1250,1,-78390897
road1251,1,78390897
road1252,1,-78390897
road1253,1,78390897
road1254,1,-78390897
road1255,1,78390897
road1256,1,-78390897
road1257,1,78390897
road1258,1,-78390897
road1259,1,78390897
road1260,1,78390897
road1261,1,-78390897
road1262,1,-78390897
road1263,1,78390897
road1264,1,-78390897
road1265,1,78390897
road1266,1,-78390897
road1267,1,78390897
road1268,1,-78390897
road1269,1,78390897
road1270,1,-78390897
road1271,1,78390897
road1272,1,-78390897
road1273,1,78390897
road1274,1,-78390897
road1275,1,78390897
road1276,1,-73540509#8
road1277,1,73540509#8
road1278,1,-11189849
road1279,1,11189849
road1280,1,-210709360
road1281,1,210709360
road1282,1,-11182364
road1283,1,11182364
road1284,1,-11181861
road1285,1,11181861
road1286,1,-157391024
road1287,1,-157391110
road1288,1,157391115
road1289,1,-157391024
road1290,1,157391024
road1291,1,-11187636
road1292,1,11187636
road1293,1,32086491
road1294,1,49887050
road1295,1,548660523
road1296,1,-84084528#0
road1297,1,84084528#1
road1298,1,-127605051#0
road1299,1,127605051#1
road1300,1,-11183460
road1301,1,11183460
road1302,1,-157610639
road1303,1,157610639
road1304,1,-210605837
road1305,1,210605837
road1306,1,-157610626#4
road1307,1,157610626#4
road1308,1,-11200652
road1309,1,11200652
road1310,1,-11201353
road1311,1,11201353
road1312,1,-127605032#1
road1313,1,127605032#1
road1314,1,-77691298#0
road1315,1,77691298#0
road1316,1,-11180735
road1317,1,11180735
road1318,1,-11180735
road1319,1,11180735
road1320,1,620891605#0
road1321,1,620891605#1
road1322,1,620891605#1
road1323,1,-78390897
road1324,1,78390897
road1325,1,-78390897
road1326,1,78390897
road1327,1,-73540509#8
road1328,1,73540509#8
road1329,1,11189849
